"","date","country","unemp_rate"
"728",2022-01-01,"montenegro",NA
"729",2022-01-01,"north_macedonia",NA
"730",2022-01-01,"serbia",9.6
"731",2022-01-01,"turkiye",10.5
"732",2023-01-01,"croatia",6.1
"733",2023-01-01,"italy",7.7
"734",2023-01-01,"cyprus",5.8
"735",2023-01-01,"latvia",6.5
"736",2023-01-01,"lithuania",6.9
"737",2023-01-01,"luxembourg",5.2
"738",2023-01-01,"hungary",4.1
"739",2023-01-01,"malta",3.5
"740",2023-01-01,"netherlands",3.6
"741",2023-01-01,"austria",5.1
"742",2023-01-01,"poland",2.8
"743",2023-01-01,"portugal",6.5
"744",2023-01-01,"romania",5.6
"745",2023-01-01,"slovenia",3.7
"746",2023-01-01,"slovakia",5.8
"747",2023-01-01,"finland",7.2
"748",2023-01-01,"sweden",7.7
"749",2023-01-01,"iceland",3.5
"750",2023-01-01,"norway",3.6
"751",2023-01-01,"switzerland",4.1
"752",2023-01-01,"bosnia_and_herzegovina",13.2
"753",2023-01-01,"montenegro",NA
"754",2023-01-01,"north_macedonia",NA
"755",2023-01-01,"serbia",9.5
"756",2023-01-01,"turkiye",9.4
