"","date","country","unemp_rate"
"143",2017-01-01,"bulgaria",7.2
"144",2017-01-01,"czechia",2.9
"145",2017-01-01,"denmark",5.8
"146",2017-01-01,"germany",3.6
"147",2017-01-01,"estonia",5.8
"148",2017-01-01,"ireland",6.7
"149",2017-01-01,"greece",21.8
"150",2017-01-01,"spain",17.2
"151",2018-01-01,"euro_area_20_countries_from_2023",8.2
"152",2018-01-01,"belgium",6
"153",2018-01-01,"bulgaria",6.2
"154",2018-01-01,"czechia",2.2
"155",2018-01-01,"denmark",5.1
"156",2018-01-01,"germany",3.2
"157",2018-01-01,"estonia",5.4
"158",2018-01-01,"ireland",5.8
"159",2018-01-01,"greece",19.7
"160",2018-01-01,"spain",15.3
"161",2019-01-01,"euro_area_20_countries_from_2023",7.6
"162",2019-01-01,"belgium",5.5
"163",2019-01-01,"bulgaria",5.2
"164",2019-01-01,"czechia",2
"165",2019-01-01,"denmark",5
"166",2019-01-01,"germany",3
"167",2019-01-01,"estonia",4.5
"168",2019-01-01,"ireland",5
"169",2019-01-01,"greece",17.9
"170",2019-01-01,"spain",14.1
"171",2020-01-01,"euro_area_20_countries_from_2023",8
"172",2020-01-01,"belgium",5.8
"173",2020-01-01,"bulgaria",6.1
"174",2020-01-01,"czechia",2.6
"175",2020-01-01,"denmark",5.6
"176",2020-01-01,"germany",3.7
"177",2020-01-01,"estonia",6.9
"178",2020-01-01,"ireland",5.9
"179",2020-01-01,"greece",17.6
"180",2020-01-01,"spain",15.5
"181",2021-01-01,"euro_area_20_countries_from_2023",7.8
"182",2021-01-01,"belgium",6.3
"183",2021-01-01,"bulgaria",5.2
"184",2021-01-01,"czechia",2.8
"185",2021-01-01,"denmark",5.1
"186",2021-01-01,"germany",3.7
"187",2021-01-01,"estonia",6.2
"188",2021-01-01,"ireland",6.2
"189",2021-01-01,"greece",14.7
"190",2021-01-01,"spain",14.9
"191",2022-01-01,"euro_area_20_countries_from_2023",6.8
"192",2022-01-01,"belgium",5.6
"193",2022-01-01,"bulgaria",4.2
"194",2022-01-01,"czechia",2.2
"195",2022-01-01,"denmark",4.5
"196",2022-01-01,"germany",3.2
"197",2022-01-01,"estonia",5.6
"198",2022-01-01,"ireland",4.5
"199",2022-01-01,"greece",12.5
"200",2022-01-01,"spain",13
"201",2023-01-01,"euro_area_20_countries_from_2023",6.6
"202",2023-01-01,"belgium",5.5
"203",2023-01-01,"bulgaria",4.3
"204",2023-01-01,"czechia",2.6
"205",2023-01-01,"denmark",5.1
"206",2023-01-01,"germany",3.1
"207",2023-01-01,"estonia",6.4
"208",2023-01-01,"ireland",4.3
"209",2023-01-01,"greece",11.1
"210",2023-01-01,"spain",12.2
"211",2003-01-01,"france",8.5
"212",2004-01-01,"france",8.9
"213",2005-01-01,"france",8.9
"214",2006-01-01,"france",8.9
"215",2007-01-01,"france",8
"216",2008-01-01,"france",7.4
"217",2009-01-01,"france",9.1
"218",2010-01-01,"france",9.3
"219",2011-01-01,"france",9.2
"220",2012-01-01,"france",9.8
"221",2013-01-01,"france",10.3
"222",2014-01-01,"france",10.3
"223",2015-01-01,"france",10.3
"224",2016-01-01,"france",10.1
"225",2017-01-01,"france",9.4
"226",2018-01-01,"france",9
"227",2019-01-01,"france",8.4
"228",2020-01-01,"france",8
"229",2021-01-01,"france",7.9
"230",2022-01-01,"france",7.3
"231",2023-01-01,"france",7.3
"232",2003-01-01,"croatia",NA
"233",2003-01-01,"italy",NA
"234",2003-01-01,"cyprus",NA
"235",2003-01-01,"latvia",NA
"236",2003-01-01,"lithuania",NA
"237",2003-01-01,"luxembourg",NA
"238",2003-01-01,"hungary",NA
"239",2003-01-01,"malta",NA
"240",2003-01-01,"netherlands",NA
"241",2003-01-01,"austria",NA
"242",2003-01-01,"poland",NA
"243",2003-01-01,"portugal",NA
"244",2003-01-01,"romania",NA
"245",2003-01-01,"slovenia",NA
"246",2003-01-01,"slovakia",NA
"247",2003-01-01,"finland",NA
"248",2003-01-01,"sweden",NA
"249",2003-01-01,"iceland",NA
"250",2003-01-01,"norway",NA
"251",2003-01-01,"switzerland",NA
"252",2003-01-01,"bosnia_and_herzegovina",NA
"253",2003-01-01,"montenegro",NA
"254",2003-01-01,"north_macedonia",NA
"255",2003-01-01,"serbia",NA
"256",2003-01-01,"turkiye",NA
"257",2004-01-01,"croatia",NA
"258",2004-01-01,"italy",NA
"259",2004-01-01,"cyprus",NA
"260",2004-01-01,"latvia",NA
"261",2004-01-01,"lithuania",NA
"262",2004-01-01,"luxembourg",NA
"263",2004-01-01,"hungary",NA
"264",2004-01-01,"malta",NA
"265",2004-01-01,"netherlands",NA
"266",2004-01-01,"austria",NA
"267",2004-01-01,"poland",NA
"268",2004-01-01,"portugal",NA
"269",2004-01-01,"romania",NA
"270",2004-01-01,"slovenia",NA
"271",2004-01-01,"slovakia",NA
"272",2004-01-01,"finland",NA
"273",2004-01-01,"sweden",NA
"274",2004-01-01,"iceland",NA
"275",2004-01-01,"norway",NA
"276",2004-01-01,"switzerland",NA
"277",2004-01-01,"bosnia_and_herzegovina",NA
"278",2004-01-01,"montenegro",NA
"279",2004-01-01,"north_macedonia",NA
"280",2004-01-01,"serbia",NA
"281",2004-01-01,"turkiye",NA
"282",2005-01-01,"croatia",NA
"283",2005-01-01,"italy",NA
"284",2005-01-01,"cyprus",NA
"285",2005-01-01,"latvia",NA
"286",2005-01-01,"lithuania",NA
"287",2005-01-01,"luxembourg",NA
"288",2005-01-01,"hungary",NA
"289",2005-01-01,"malta",NA
"290",2005-01-01,"netherlands",NA
"291",2005-01-01,"austria",NA
"292",2005-01-01,"poland",NA
"293",2005-01-01,"portugal",NA
"294",2005-01-01,"romania",NA
"295",2005-01-01,"slovenia",NA
"296",2005-01-01,"slovakia",NA
"297",2005-01-01,"finland",NA
"298",2005-01-01,"sweden",7.9
"299",2005-01-01,"iceland",NA
"300",2005-01-01,"norway",NA
"301",2005-01-01,"switzerland",NA
"302",2005-01-01,"bosnia_and_herzegovina",NA
"303",2005-01-01,"montenegro",NA
"304",2005-01-01,"north_macedonia",NA
"305",2005-01-01,"serbia",NA
"306",2005-01-01,"turkiye",NA
"307",2006-01-01,"croatia",NA
"308",2006-01-01,"italy",NA
"309",2006-01-01,"cyprus",NA
"310",2006-01-01,"latvia",NA
"311",2006-01-01,"lithuania",NA
"312",2006-01-01,"luxembourg",NA
"313",2006-01-01,"hungary",NA
"314",2006-01-01,"malta",NA
"315",2006-01-01,"netherlands",NA
"316",2006-01-01,"austria",NA
"317",2006-01-01,"poland",NA
"318",2006-01-01,"portugal",NA
"319",2006-01-01,"romania",NA
"320",2006-01-01,"slovenia",NA
"321",2006-01-01,"slovakia",NA
"322",2006-01-01,"finland",NA
"323",2006-01-01,"sweden",7.2
"324",2006-01-01,"iceland",NA
"325",2006-01-01,"norway",NA
"326",2006-01-01,"switzerland",NA
"327",2006-01-01,"bosnia_and_herzegovina",NA
"328",2006-01-01,"montenegro",NA
"329",2006-01-01,"north_macedonia",NA
"330",2006-01-01,"serbia",NA
"331",2006-01-01,"turkiye",NA
"332",2007-01-01,"croatia",NA
"333",2007-01-01,"italy",NA
"334",2007-01-01,"cyprus",NA
"335",2007-01-01,"latvia",NA
"336",2007-01-01,"lithuania",NA
"337",2007-01-01,"luxembourg",NA
"338",2007-01-01,"hungary",NA
"339",2007-01-01,"malta",NA
"340",2007-01-01,"netherlands",NA
"341",2007-01-01,"austria",NA
"342",2007-01-01,"poland",NA
"343",2007-01-01,"portugal",NA
"344",2007-01-01,"romania",NA
"345",2007-01-01,"slovenia",NA
"346",2007-01-01,"slovakia",NA
"347",2007-01-01,"finland",NA
"348",2007-01-01,"sweden",6.3
"349",2007-01-01,"iceland",NA
"350",2007-01-01,"norway",NA
"351",2007-01-01,"switzerland",NA
"352",2007-01-01,"bosnia_and_herzegovina",NA
"353",2007-01-01,"montenegro",NA
"354",2007-01-01,"north_macedonia",NA
"355",2007-01-01,"serbia",NA
"356",2007-01-01,"turkiye",NA
"357",2008-01-01,"croatia",NA
"358",2008-01-01,"italy",NA
"359",2008-01-01,"cyprus",NA
"360",2008-01-01,"latvia",NA
"361",2008-01-01,"lithuania",NA
"362",2008-01-01,"luxembourg",NA
"363",2008-01-01,"hungary",NA
"364",2008-01-01,"malta",NA
"365",2008-01-01,"netherlands",NA
"366",2008-01-01,"austria",NA
"367",2008-01-01,"poland",NA
"368",2008-01-01,"portugal",NA
"369",2008-01-01,"romania",NA
"370",2008-01-01,"slovenia",NA
"371",2008-01-01,"slovakia",NA
"372",2008-01-01,"finland",NA
"373",2008-01-01,"sweden",6.3
"374",2008-01-01,"iceland",NA
"375",2008-01-01,"norway",NA
"376",2008-01-01,"switzerland",NA
"377",2008-01-01,"bosnia_and_herzegovina",NA
"378",2008-01-01,"montenegro",NA
"379",2008-01-01,"north_macedonia",NA
"380",2008-01-01,"serbia",NA
"381",2008-01-01,"turkiye",NA
"382",2009-01-01,"croatia",9.2
"383",2009-01-01,"italy",7.9
"384",2009-01-01,"cyprus",5.4
"385",2009-01-01,"latvia",17.7
"386",2009-01-01,"lithuania",13.8
"387",2009-01-01,"luxembourg",5.1
"388",2009-01-01,"hungary",9.7
"389",2009-01-01,"malta",6.9
"390",2009-01-01,"netherlands",5.4
"391",2009-01-01,"austria",5.7
"392",2009-01-01,"poland",8.5
"393",2009-01-01,"portugal",11.2
"394",2009-01-01,"romania",8.4
"395",2009-01-01,"slovenia",5.9
"396",2009-01-01,"slovakia",12
"397",2009-01-01,"finland",8.3
"398",2009-01-01,"sweden",8.5
"399",2009-01-01,"iceland",7.2
"400",2009-01-01,"norway",3.4
"401",2009-01-01,"switzerland",NA
"402",2009-01-01,"bosnia_and_herzegovina",NA
"403",2009-01-01,"montenegro",NA
"404",2009-01-01,"north_macedonia",32.2
"405",2009-01-01,"serbia",NA
"406",2009-01-01,"turkiye",12.6
"407",2010-01-01,"croatia",11.7
"408",2010-01-01,"italy",8.5
"409",2010-01-01,"cyprus",6.3
"410",2010-01-01,"latvia",19.7
"411",2010-01-01,"lithuania",17.8
"412",2010-01-01,"luxembourg",4.4
"413",2010-01-01,"hungary",10.8
"414",2010-01-01,"malta",6.9
"415",2010-01-01,"netherlands",6.1
"416",2010-01-01,"austria",5.2
"417",2010-01-01,"poland",10
"418",2010-01-01,"portugal",12.6
"419",2010-01-01,"romania",9
"420",2010-01-01,"slovenia",7.3
"421",2010-01-01,"slovakia",14.3
"422",2010-01-01,"finland",8.6
"423",2010-01-01,"sweden",8.7
"424",2010-01-01,"iceland",7.6
"425",2010-01-01,"norway",4
"426",2010-01-01,"switzerland",4.8
"427",2010-01-01,"bosnia_and_herzegovina",NA
"428",2010-01-01,"montenegro",NA
"429",2010-01-01,"north_macedonia",32
"430",2010-01-01,"serbia",21.1
"431",2010-01-01,"turkiye",10.7
"432",2011-01-01,"croatia",13.7
"433",2011-01-01,"italy",8.5
"434",2011-01-01,"cyprus",7.9
"435",2011-01-01,"latvia",16.3
"436",2011-01-01,"lithuania",15.4
"437",2011-01-01,"luxembourg",4.9
"438",2011-01-01,"hungary",10.7
"439",2011-01-01,"malta",6.4
"440",2011-01-01,"netherlands",6
"441",2011-01-01,"austria",4.9
"442",2011-01-01,"poland",10
"443",2011-01-01,"portugal",13.5
"444",2011-01-01,"romania",9.1
"445",2011-01-01,"slovenia",8.2
"446",2011-01-01,"slovakia",13.5
"447",2011-01-01,"finland",8
"448",2011-01-01,"sweden",7.9
"449",2011-01-01,"iceland",7
"450",2011-01-01,"norway",3.6
"451",2011-01-01,"switzerland",4.4
"452",2011-01-01,"bosnia_and_herzegovina",NA
"453",2011-01-01,"montenegro",19.7
"454",2011-01-01,"north_macedonia",31.4
"455",2011-01-01,"serbia",25
"456",2011-01-01,"turkiye",8.8
"457",2012-01-01,"croatia",16.1
"458",2012-01-01,"italy",10.9
"459",2012-01-01,"cyprus",11.9
"460",2012-01-01,"latvia",15.1
"461",2012-01-01,"lithuania",13.4
"462",2012-01-01,"luxembourg",5.1
"463",2012-01-01,"hungary",10.7
"464",2012-01-01,"malta",6.2
"465",2012-01-01,"netherlands",6.8
"466",2012-01-01,"austria",5.2
"467",2012-01-01,"poland",10.4
"468",2012-01-01,"portugal",16.6
"469",2012-01-01,"romania",8.7
"470",2012-01-01,"slovenia",8.9
"471",2012-01-01,"slovakia",13.9
"472",2012-01-01,"finland",7.9
"473",2012-01-01,"sweden",8.1
"474",2012-01-01,"iceland",6
"475",2012-01-01,"norway",3.5
"476",2012-01-01,"switzerland",4.5
"477",2012-01-01,"bosnia_and_herzegovina",NA
"478",2012-01-01,"montenegro",20
"479",2012-01-01,"north_macedonia",31
"480",2012-01-01,"serbia",26
"481",2012-01-01,"turkiye",8.2
"482",2013-01-01,"croatia",17.3
"483",2013-01-01,"italy",12.4
"484",2013-01-01,"cyprus",15.9
"485",2013-01-01,"latvia",11.9
"486",2013-01-01,"lithuania",11.8
"487",2013-01-01,"luxembourg",5.9
"488",2013-01-01,"hungary",9.8
"489",2013-01-01,"malta",6.1
"490",2013-01-01,"netherlands",8.2
"491",2013-01-01,"austria",5.7
"492",2013-01-01,"poland",10.6
"493",2013-01-01,"portugal",17.2
"494",2013-01-01,"romania",9
"495",2013-01-01,"slovenia",10.1
"496",2013-01-01,"slovakia",14.1
"497",2013-01-01,"finland",8.3
"498",2013-01-01,"sweden",8.1
"499",2013-01-01,"iceland",5.4
"500",2013-01-01,"norway",3.9
"501",2013-01-01,"switzerland",4.8
"502",2013-01-01,"bosnia_and_herzegovina",NA
"503",2013-01-01,"montenegro",19.5
"504",2013-01-01,"north_macedonia",29
"505",2013-01-01,"serbia",24.2
"506",2013-01-01,"turkiye",8.8
"507",2014-01-01,"croatia",17.3
"508",2014-01-01,"italy",12.9
"509",2014-01-01,"cyprus",16.1
"510",2014-01-01,"latvia",10.9
"511",2014-01-01,"lithuania",10.7
"512",2014-01-01,"luxembourg",5.9
"513",2014-01-01,"hungary",7.5
"514",2014-01-01,"malta",5.7
"515",2014-01-01,"netherlands",8.4
"516",2014-01-01,"austria",6
"517",2014-01-01,"poland",9.2
"518",2014-01-01,"portugal",14.6
"519",2014-01-01,"romania",8.6
"520",2014-01-01,"slovenia",9.7
"521",2014-01-01,"slovakia",13.1
"522",2014-01-01,"finland",8.7
"523",2014-01-01,"sweden",8
"524",2014-01-01,"iceland",4.9
"525",2014-01-01,"norway",3.8
"526",2014-01-01,"switzerland",4.9
"527",2014-01-01,"bosnia_and_herzegovina",NA
"528",2014-01-01,"montenegro",18
